"replicate" "day" "dilution" "initial_density" "value" "extinction"
"rep_5" 5 250 "dens_1" 1.8148718 FALSE
"rep_6" 5 250 "dens_1" 1.8410431 FALSE
"rep_7" 5 250 "dens_1" 1.8096806 FALSE
"rep_8" 5 250 "dens_1" 1.7864939 FALSE
"rep_1" 5 500 "dens_1" 1.559863 FALSE
"rep_2" 5 500 "dens_1" 1.7509788 FALSE
"rep_3" 5 500 "dens_1" 1.7635867 FALSE
"rep_4" 5 500 "dens_1" 1.7686533 FALSE
"rep_5" 5 500 "dens_1" 1.7509788 FALSE
"rep_6" 5 500 "dens_1" 1.7185846 FALSE
"rep_7" 5 500 "dens_1" 1.745959 FALSE
"rep_8" 5 500 "dens_1" 1.6482511 FALSE
"rep_1" 5 750 "dens_1" 1.530545 FALSE
"rep_2" 5 750 "dens_1" 1.5896406 FALSE
"rep_3" 5 750 "dens_1" 1.5965792 FALSE
"rep_4" 5 750 "dens_1" 1.6292983 FALSE
"rep_5" 5 750 "dens_1" 1.555323 FALSE
"rep_6" 5 750 "dens_1" 1.6035431 FALSE
"rep_7" 5 750 "dens_1" 1.6363835 FALSE
"rep_8" 5 750 "dens_1" 1.5781324 FALSE
"rep_1" 5 1000 "dens_1" 1.4175974 FALSE
"rep_2" 5 1000 "dens_1" 1.4667289 FALSE
"rep_3" 5 1000 "dens_1" 1.5171646 FALSE
"rep_4" 5 1000 "dens_1" 1.4906834 FALSE
"rep_5" 5 1000 "dens_1" 1.5171646 FALSE
"rep_6" 5 1000 "dens_1" 1.4667289 FALSE
"rep_7" 5 1000 "dens_1" 1.453789 FALSE
"rep_8" 5 1000 "dens_1" 1.4345429 FALSE
"rep_1" 5 1133 "dens_1" 1.2100461 FALSE
"rep_2" 5 1133 "dens_1" 1.2990644 FALSE
"rep_3" 5 1133 "dens_1" 1.3350654 FALSE
"rep_4" 5 1133 "dens_1" 1.3089964 FALSE
"rep_5" 5 1133 "dens_1" 1.2852461 FALSE
"rep_6" 5 1133 "dens_1" 1.3492522 FALSE
"rep_7" 5 1133 "dens_1" 1.3010466 FALSE
"rep_8" 5 1133 "dens_1" 1.2676262 FALSE
"rep_1" 5 1266 "dens_1" 0.87469542 FALSE
"rep_2" 5 1266 "dens_1" 0.95562759 FALSE
"rep_3" 5 1266 "dens_1" 1.0874229 FALSE
"rep_4" 5 1266 "dens_1" 1.1034417 FALSE
"rep_5" 5 1266 "dens_1" 1.0195274 FALSE
"rep_6" 5 1266 "dens_1" 1.1070199 FALSE
"rep_7" 5 1266 "dens_1" 1.1670536 FALSE
"rep_8" 5 1266 "dens_1" 1.1250124 FALSE
"rep_1" 5 1400 "dens_1" 0.73422987 FALSE
"rep_2" 5 1400 "dens_1" 0.7624005 FALSE
"rep_3" 5 1400 "dens_1" 0.97557528 FALSE
"rep_4" 5 1400 "dens_1" 1.0592742 FALSE
"rep_5" 5 1400 "dens_1" 0.98394902 FALSE
"rep_6" 5 1400 "dens_1" 0.86836735 FALSE
"rep_7" 5 1400 "dens_1" 1.0144038 FALSE
"rep_8" 5 1400 "dens_1" 1.1141964 FALSE
"rep_1" 5 1600 "dens_1" 0.52143001 FALSE
"rep_2" 5 1600 "dens_1" 0.6791115 FALSE
"rep_3" 5 1600 "dens_1" 0.73422987 FALSE
"rep_4" 5 1600 "dens_1" 0.77739663 FALSE
"rep_5" 5 1600 "dens_1" 1.0592742 FALSE
"rep_6" 5 1600 "dens_1" 0.69634518 FALSE
"rep_7" 5 1600 "dens_1" 0.7638948 FALSE
"rep_8" 5 1600 "dens_1" 0.88104463 FALSE
"rep_1" 6 250 "dens_1" 1.6035431 FALSE
"rep_2" 6 250 "dens_1" 1.6673948 FALSE
"rep_3" 6 250 "dens_1" 1.6363835 FALSE
"rep_4" 6 250 "dens_1" 1.6818803 FALSE
"rep_5" 6 250 "dens_1" 1.6292983 FALSE
"rep_6" 6 250 "dens_1" 1.6105327 FALSE
"rep_7" 6 250 "dens_1" 1.5644139 FALSE
"rep_8" 6 250 "dens_1" 1.5873334 FALSE
"rep_1" 6 500 "dens_1" 1.5965792 FALSE
"rep_2" 6 500 "dens_1" 1.5038779 FALSE
"rep_3" 6 500 "dens_1" 1.5327842 FALSE
"rep_4" 6 500 "dens_1" 1.5485333 FALSE
"rep_5" 6 500 "dens_1" 1.5462754 FALSE
"rep_6" 6 500 "dens_1" 1.5758391 FALSE
"rep_7" 6 500 "dens_1" 1.5689758 FALSE
"rep_8" 6 500 "dens_1" 1.5127254 FALSE
"rep_1" 6 750 "dens_1" 1.4624058 FALSE
"rep_2" 6 750 "dens_1" 1.4302923 FALSE
"rep_3" 6 750 "dens_1" 1.5105096 FALSE
"rep_4" 6 750 "dens_1" 1.5485333 FALSE
"rep_5" 6 750 "dens_1" 1.5105096 FALSE
"rep_6" 6 750 "dens_1" 1.5621371 FALSE
"rep_7" 6 750 "dens_1" 1.5082965 FALSE
"rep_8" 6 750 "dens_1" 1.4710618 FALSE
"rep_1" 6 1000 "dens_1" 1.2559697 FALSE
"rep_2" 6 1000 "dens_1" 1.3290177 FALSE
"rep_3" 6 1000 "dens_1" 1.3800138 FALSE
"rep_4" 6 1000 "dens_1" 1.3270061 FALSE
"rep_5" 6 1000 "dens_1" 1.3841532 FALSE
"rep_6" 6 1000 "dens_1" 1.3862263 FALSE
"rep_7" 6 1000 "dens_1" 1.3924592 FALSE
"rep_8" 6 1000 "dens_1" 1.3655964 FALSE
"rep_1" 6 1133 "dens_1" 1.2157262 FALSE
"rep_2" 6 1133 "dens_1" 1.2637328 FALSE
"rep_3" 6 1133 "dens_1" 1.2773949 FALSE
"rep_4" 6 1133 "dens_1" 1.2911559 FALSE
"rep_5" 6 1133 "dens_1" 1.3350654 FALSE
"rep_6" 6 1133 "dens_1" 1.3350654 FALSE
"rep_7" 6 1133 "dens_1" 1.295106 FALSE
"rep_8" 6 1133 "dens_1" 1.2852461 FALSE
"rep_1" 6 1266 "dens_1" 0.93425133 FALSE
"rep_2" 6 1266 "dens_1" 1.0732964 FALSE
"rep_3" 6 1266 "dens_1" 1.1652062 FALSE
"rep_4" 6 1266 "dens_1" 1.2043829 FALSE
"rep_5" 6 1266 "dens_1" 1.1707537 FALSE
"rep_6" 6 1266 "dens_1" 1.1856265 FALSE
"rep_7" 6 1266 "dens_1" 1.2598473 FALSE
"rep_8" 6 1266 "dens_1" 1.2290462 FALSE
"rep_1" 6 1400 "dens_1" 0.73865019 FALSE
"rep_2" 6 1400 "dens_1" 0.82928741 FALSE
"rep_3" 6 1400 "dens_1" 0.97390495 FALSE
"rep_4" 6 1400 "dens_1" 1.1232055 FALSE
"rep_5" 6 1400 "dens_1" 0.93916301 FALSE
"rep_6" 6 1400 "dens_1" 1.017818 FALSE
"rep_7" 6 1400 "dens_1" 0.94902463 FALSE
"rep_8" 6 1400 "dens_1" 1.017818 FALSE
"rep_1" 6 1600 "dens_1" 0.51748673 FALSE
"rep_2" 6 1600 "dens_1" 0.80163939 FALSE
"rep_3" 6 1600 "dens_1" 0.74308082 FALSE
"rep_4" 6 1600 "dens_1" 0.8858205 FALSE
"rep_5" 6 1600 "dens_1" 1.0874229 FALSE
"rep_6" 6 1600 "dens_1" 0.87786737 FALSE
"rep_7" 6 1600 "dens_1" 0.81848754 FALSE
